region	china	#511EA8
region	southeast_asia	#403DC5
region	south_asia	#4063CF
region	japan_korea	#4785C7
region	oceania	#559EB1
region	west_asia	#67AF94
region	africa	#7EB877
region	europe	#98BD5E
region	south_america	#B4BD4C
region	north_america	#CDB642
region	central_america	#C2BA46
region	northeast_usa	#CCB742
region	midwest_usa	#D3B240
region	south_usa	#DAAC3D
region	west_usa	#DFA43B
region	canada	#E39B39
region	seattle	#DC2F24

location	china	#AAAAAA
location	southeast_asia	#AAAAAA
location	south_asia	#AAAAAA
location	japan_korea	#AAAAAA
location	oceania	#AAAAAA
location	west_asia	#AAAAAA
location	africa	#AAAAAA
location	europe	#AAAAAA
location	south_america	#AAAAAA
location	north_america	#AAAAAA
location	central_america	#AAAAAA
location	northeast_usa	#AAAAAA
location	midwest_usa	#AAAAAA
location	south_usa	#AAAAAA
location	west_usa	#AAAAAA
location	canada	#AAAAAA
location	seattle	#AAAAAA
location	53029971300	#28401e
location	53029971800	#2d4621
location	53029971900	#304c24
location	53029972000	#375629
location	53029972100	#32592f
location	53033000100	#498978
location	53033000200	#3f7769
location	53033000300	#37685b
location	53033000401	#325d52
location	53033000402	#305957
location	53033000500	#2e564b
location	53033000600	#38685c
location	53033000700	#417876
location	53033000800	#45807d
location	53033000900	#498785
location	53033001000	#437c7a
location	53033001100	#3f7472
location	53033001200	#396a68
location	53033001300	#335f5d
location	53033001400	#2d5351
location	53033001500	#284a49
location	53033001600	#2a4e4d
location	53033001701	#305857
location	53033001702	#2e5453
location	53033001800	#335f5d
location	53033001900	#376765
location	53033002000	#3d706e
location	53033002100	#427b79
location	53033002200	#498784
location	53033002400	#447e7c
location	53033002500	#3c737e
location	53033002600	#386c76
location	53033002700	#366462
location	53033002800	#315a59
location	53033002900	#2b535b
location	53033003000	#284d55
location	53033003100	#284a49
location	53033003200	#25474e
location	53033003300	#284c54
location	53033003400	#2b535b
location	53033003500	#2c565e
location	53033003600	#34646e
location	53033003800	#3e7884
location	53033003900	#417d89
location	53033004000	#478895
location	53033004100	#458491
location	53033004200	#407b88
location	53033004301	#3c7480
location	53033004302	#3b727d
location	53033004400	#386b76
location	53033004500	#35656f
location	53033004600	#305d66
location	53033004700	#284c54
location	53033004800	#2b535b
location	53033004900	#2d565f
location	53033005000	#305c65
location	53033005100	#326069
location	53033005200	#35656f
location	53033005301	#376a75
location	53033005302	#3c737e
location	53033005400	#305d66
location	53033005600	#24464d
location	53033005700	#24454b
